ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,SEVERITY_CODE,BLEACHING_SEVERITY
2664,,,Mexico (Pacific),"Tijera and Mazunte, Oaxaca",16,-95,3,HIGH
278,,,United Kingdom,Blenheim Bank,-5.25,72.47,3,HIGH
2097,,,United Kingdom,Chagos,-6.1,71.73333333,3,HIGH
280,,,United Kingdom,Egmont,-6.6635,71.3504,3,HIGH
279,,,United Kingdom,Great Chagos Bank,-6.2348,71.9986,3,HIGH
276,,,United Kingdom,Peros Banhos Atoll,-5.35,71.7505,3,HIGH
277,,,United Kingdom,Salomon Atoll,-5.3484,72.2442,3,HIGH
226,,,United Kingdom,"Soufriere, Saint Lucia",13.8716,-61.0808,3,HIGH
2053,Africa,Eastern Africa,Kenya,Kenya,-3.366666667,40.48333333,3,HIGH
7280,Africa,Eastern Africa,Kenya,Kisite,-4.716667,39.366667,3,HIGH
492,Africa,Eastern Africa,Kenya,Kiunga MNR,-1.75,41.4833,3,HIGH
248,Africa,Eastern Africa,Kenya,Malindi,-3.2218,40.1403,3,HIGH
7284,Africa,Eastern Africa,Kenya,Mkokoni Coral Garden,1.9614,41.30054,3,HIGH
176,Africa,Eastern Africa,Kenya,Mombasa,-4,39.75,3,HIGH
7281,Africa,Eastern Africa,Kenya,Mpunguti,-4.692222,39.409444,3,HIGH
7285,Africa,Eastern Africa,Kenya,Shimo la Tewa,2.04296,41.24666,3,HIGH
7283,Africa,Eastern Africa,Kenya,Sii island corner,-4.666667,39.28333,3,HIGH
257,Africa,Eastern Africa,Mozambique,Baixo St Antonio,-16.2032,40.137,3,HIGH
2148,Africa,Eastern Africa,Mozambique,Barreira Vermelha,-26.1,32.88333333,3,HIGH
254,Africa,Eastern Africa,Mozambique,Fernao Veloso Bay,-12.9563,40.5845,3,HIGH
258,Africa,Eastern Africa,Mozambique,Mafamede Island,-16.4424,39.9611,3,HIGH
253,Africa,Eastern Africa,Mozambique,Pemba Bay,-12.2805,40.6033,3,HIGH
265,Africa,Eastern Africa,Mozambique,Pta Torres,-26.0427,33.0087,3,HIGH
256,Africa,Eastern Africa,Mozambique,Quilalulia Channel,-11.0432,40.6994,3,HIGH
252,Africa,Eastern Africa,Mozambique,Sencar,-11.2059,40.6715,3,HIGH
255,Africa,Eastern Africa,Mozambique,Wimbi Beach,-11.5273,40.6275,3,HIGH
245,Africa,Eastern Africa,Somalia,1km west of Raas Cuuda,10.7898,45.979,3,HIGH
249,Africa,Eastern Africa,Tanzania,Chapwani and Changuu reefs,-6.1274,39.1742,3,HIGH
2115,Africa,Eastern Africa,Tanzania,Chole Bay,-7.983333333,39.78333333,3,HIGH
2096,Africa,Eastern Africa,Tanzania,Chumbe Island,-6.35,39.225,3,HIGH
1807,Africa,Eastern Africa,Tanzania,Kinasi Pass,-7.966666667,39.78333333,3,HIGH
1809,Africa,Eastern Africa,Tanzania,Mafia Island,-7.833333333,39.83333333,3,HIGH
191,Africa,Eastern Africa,Tanzania,Mafia Island Marine Park,-7.9516,39.8137,3,HIGH
2064,Africa,Eastern Africa,Tanzania,Misali,-5.283333333,39.63333333,3,HIGH
757,Africa,Eastern Africa,Tanzania,"Misali Reef, Pemba Island",-5.2333,39.6,3,HIGH
551,Africa,Eastern Africa,Tanzania,Pemba Island,-5.1667,39.8,3,HIGH
112,Africa,Eastern Africa,Tanzania,Tanzania,-8.7242,39.5216,3,HIGH
2079,Africa,Eastern Africa,Tanzania,Tutia Island,-8.116666667,39.7,3,HIGH
2080,Africa,Eastern Africa,Tanzania,Tutia Island,-8.116666667,39.7,3,HIGH
596,Africa,Eastern Africa,Tanzania,"Tutia Reef, Mafia Island Marine Park",-7.6667,40.6667,3,HIGH
786,Africa,Southwest Indian Ocean,Comoros,Canzoni,-12.3,43.8,3,HIGH
169,Africa,Southwest Indian Ocean,Comoros,Grande Comore,-11.4909,43.401,3,HIGH
487,Africa,Southwest Indian Ocean,Comoros,Mayotte Island,-12.7,45.2,3,HIGH
2129,Africa,Southwest Indian Ocean,Comoros,Mayotte Island,-12.83333333,45.21666667,3,HIGH
2130,Africa,Southwest Indian Ocean,Comoros,Mayotte Island,-12.83333333,45.21666667,3,HIGH
2132,Africa,Southwest Indian Ocean,Comoros,Mayotte Island,-12.83333333,45.21666667,3,HIGH
784,Africa,Southwest Indian Ocean,Comoros,Mitsmiouli ,-11.4167,43.3,3,HIGH
266,Africa,Southwest Indian Ocean,Comoros,Mohéli,-12.2755,43.75,3,HIGH
4034,Africa,Southwest Indian Ocean,Madagascar,Tampolo Marine Reserve in Antongil Bay,-18.467,49.3,3,HIGH
480,Africa,Southwest Indian Ocean,Madagascar,Tulear,-23.3833,43.7167,3,HIGH
3898,Africa,Southwest Indian Ocean,Mauritius,"North of Rodrigues, Mauritius",-19.638,63.396,3,HIGH
4035,Africa,Southwest Indian Ocean,Mauritius,Rodrigues (Republic of Mauritius),-16.743,63.397,3,HIGH
482,Africa,Southwest Indian Ocean,Réunion,La Saline Lagoon,-21.16,55.28,3,HIGH
3325,Africa,Southwest Indian Ocean,Réunion,"Trou d'Eau, La Saline-les-Bains",-21.0867,55.2407,3,HIGH
2027,Africa,Southwest Indian Ocean,Seychelles,Aldabra,-9.416666667,46.41666667,3,HIGH
451,Africa,Southwest Indian Ocean,Seychelles,Alphonse Atoll,-7.0113,52.7348,3,HIGH
2651,Africa,Southwest Indian Ocean,Seychelles,Cousine Island,-4.35,55.65,3,HIGH
2650,Africa,Southwest Indian Ocean,Seychelles,North West Coast St. Pierre,-9.31,50.71,3,HIGH
2648,Africa,Southwest Indian Ocean,Seychelles,Outer Slope West - Alphonse Atoll,-7.01,52.73,3,HIGH
2028,Africa,Southwest Indian Ocean,Seychelles,Providence,-9.383333333,51.05,3,HIGH
42,Africa,Southwest Indian Ocean,Seychelles,Seychelles,-4.3347,55.7177,3,HIGH
44,Africa,Southwest Indian Ocean,Seychelles,Seychelles,-4.6461,55.4845,3,HIGH
2061,Africa,Southwest Indian Ocean,Seychelles,Seychelles,-4.5,55.5,3,HIGH
2649,Africa,Southwest Indian Ocean,Seychelles,South East Coast St. Pierre,-9.33,50.73,3,HIGH
457,Africa,Southwest Indian Ocean,Seychelles,St. Pierre leaward coast,-9.2461,51.0431,3,HIGH
454,Africa,Southwest Indian Ocean,Seychelles,St. Pierre windward coast,-9.2126,51.0359,3,HIGH
789,Africa,Southwest Indian Ocean,Seychelles,Ternay Bay,-4.6169,55.3669,3,HIGH
219,Americas,Eastern Caribbean,Guadeloupe,Guadaloupe,16.3727,-61.6516,3,HIGH
756,Americas,Eastern Caribbean,Guadeloupe,Guadaloupe,16.3727,-61.6516,3,HIGH
2209,Americas,Eastern Caribbean,Guadeloupe,Guadeloupe,16.25,-61.83333333,3,HIGH
755,Americas,Eastern Caribbean,Martinique,Martinique,14.4,-61.2,3,HIGH
1,Americas,Eastern Caribbean,Netherlands Antilles,,5.542,125.221,3,HIGH
2118,Americas,Eastern Caribbean,Netherlands Antilles,Bonaire,12.18333333,-68.3,3,HIGH
4404,Americas,Eastern Caribbean,St. Lucia,Anse Chastanet Reef,13.51,-61.4,3,HIGH
2135,Americas,Eastern Caribbean,St. Lucia,Soufriere,13.83333333,-61.06666667,3,HIGH
4103,Americas,Eastern Caribbean,Trinidad and Tobago,Caribbean coast of Tobago,11.18,-60.877,3,HIGH
7050,Americas,Eastern Caribbean,Trinidad and Tobago,"Charlotteville, Tobago",11.33,60.56,3,HIGH
4112,Americas,Eastern Caribbean,Virgin Islands (British),Ginger Island (Alice in Wonderland – Dive Site),18.3833,-64.4833,3,HIGH
4110,Americas,Eastern Caribbean,Virgin Islands (British),"Hans Creek, Beef Island",18.433,-64.5167,3,HIGH
4111,Americas,Eastern Caribbean,Virgin Islands (British),Peter Island (Great Harbour West- Dive Site),18.35,-64.5833,3,HIGH
4084,Americas,Eastern Caribbean,Virgin Islands (British),The British Virgin Islands,18.4526,-64.6259,3,HIGH
2288,Americas,Mesoamerica,Belize,Ambergris Cay,18.03333333,-87.88333333,3,HIGH
7147,Americas,Mesoamerica,Belize,"Ambergris Cay, Belize Dist.",17.83,-87.98,3,HIGH
3959,Americas,Mesoamerica,Belize,Ambergris Caye,18.027,-87.87,3,HIGH
122,Americas,Mesoamerica,Belize,Ambergris Caye,18.0048,-87.8997,3,HIGH
2235,Americas,Mesoamerica,Belize,Belize,17.31666667,-88,3,HIGH
2236,Americas,Mesoamerica,Belize,Belize,17.31666667,-88,3,HIGH
418,Americas,Mesoamerica,Belize,Bird Reef,17.3502,-88.2711,3,HIGH
498,Americas,Mesoamerica,Belize,Central Shelf Lagoon,16.6,-88.2,3,HIGH
386,Americas,Mesoamerica,Belize,"Channel Cay, Central Lagoon",16.63,-88.13,3,HIGH
422,Americas,Mesoamerica,Belize,Cocoplum Cayes,16.87,-88.12,3,HIGH
2216,Americas,Mesoamerica,Belize,Crawl Caye,16.59816667,-88.22516667,3,HIGH
2212,Americas,Mesoamerica,Belize,Glovers Reef,16.8,-87.76666667,3,HIGH
2213,Americas,Mesoamerica,Belize,Glovers Reef,16.8,-87.76666667,3,HIGH
128,Americas,Mesoamerica,Belize,Glover's Reef Atoll,16.8086,-87.6901,3,HIGH
493,Americas,Mesoamerica,Belize,Glover's Reef Atoll,16.8086,-87.6901,3,HIGH
2230,Americas,Mesoamerica,Belize,Half Moon Caye,17.15,-87.56666667,3,HIGH
419,Americas,Mesoamerica,Belize,Laughing Bird Reef,16.43,-88.2,3,HIGH
2231,Americas,Mesoamerica,Belize,Lighthouse Reef,17.3,-87.5,3,HIGH
212,Americas,Mesoamerica,Belize,"Lighthouse Reef, Belize",17.4054,-87.546,3,HIGH
7151,Americas,Mesoamerica,Belize,"Punta Gorda, Toledo",16.1,-88.29,3,HIGH
2214,Americas,Mesoamerica,Belize,Ranguana Cay,16.33333333,-88.16666667,3,HIGH
123,Americas,Mesoamerica,Belize,Ranguana Pass,16.21,-88.18,3,HIGH
423,Americas,Mesoamerica,Belize,Rum Point,16.503,-88.3828,3,HIGH
420,Americas,Mesoamerica,Belize,Scipio Reef,16.47,-88.28,3,HIGH
421,Americas,Mesoamerica,Belize,South Water reef,16.8,-88.08,3,HIGH
588,Americas,Mesoamerica,Belize,Southern Belize,16.2,-88.35,3,HIGH
2232,Americas,Mesoamerica,Belize,Turneffe,17.41666667,-87.83333333,3,HIGH
752,Americas,Mesoamerica,Honduras,Cayos Cochinos,15.9667,-86.45,3,HIGH
7031,Americas,Mesoamerica,Honduras,"Cayos Cochinos, Roatan",15.98,-86.49,3,HIGH
505,Americas,Mesoamerica,Mexico,Akumal,20.4167,-87.3,3,HIGH
675,Americas,Mesoamerica,Mexico,"Caletitas, Bahia Banderas",20.53,-105.32,3,HIGH
673,Americas,Mesoamerica,Mexico,"Careyeros, Bahia Banderas",20.81,-105.5,3,HIGH
684,Americas,Mesoamerica,Mexico,"Chimo, Bahia Banderas",20.49,-105.5,3,HIGH
683,Americas,Mesoamerica,Mexico,"Chocota, Bahia Banderas",20.5,-105.47,3,HIGH
